2025-05-25 19:59:38,272 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,272 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,272 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,272 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,272 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,272 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,272 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,272 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,272 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,272 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,272 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,272 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,272 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,272 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:42,133 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 20:00:25,563 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 20:00:25,563 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 20:00:25,563 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 20:00:25,563 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
