2025-06-03 12:53:32,380 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:53:32,380 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:53:32,380 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:53:32,380 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:53:34,323 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:53:34,323 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:53:34,323 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:53:34,323 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:53:34,323 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:53:34,431 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:53:34,431 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:53:34,431 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:53:34,431 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:53:34,431 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:53:36,357 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:36,357 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:36,357 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:36,357 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:36,357 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:36,492 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:36,492 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:36,492 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:36,492 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:36,492 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:38,377 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:38,377 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:38,377 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:38,377 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:38,377 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:38,378 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-03 12:53:38,378 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-03 12:53:38,378 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-03 12:53:38,378 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-03 12:53:38,378 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-03 12:53:38,555 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:38,555 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:38,555 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:38,555 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:38,555 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:38,557 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-03 12:53:38,557 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-03 12:53:38,557 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-03 12:53:38,557 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
