2025-05-27 13:37:34,192 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,192 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,192 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,192 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,192 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,192 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,539 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,539 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,539 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,539 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,539 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,539 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,539 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,539 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,539 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,539 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:42,206 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:37:42,206 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:37:42,206 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:37:42,206 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:37:42,206 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:37:42,206 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:37:42,206 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:37:42,206 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:37:42,206 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:37:42,206 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:38:10,725 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:38:10,725 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:38:10,725 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:38:10,725 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:38:10,725 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:38:10,725 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:38:10,725 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:38:10,725 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:38:10,725 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:38:10,725 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:38:10,725 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:28,729 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:28,729 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:28,729 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:28,729 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:28,729 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:28,729 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:28,729 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:28,729 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:28,729 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:28,729 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:28,729 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:28,729 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:42,907 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:42,907 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:42,907 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:42,907 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:42,907 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:42,907 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:42,907 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:42,907 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:42,907 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:46:42,907 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
