2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,855 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,873 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,885 | INFO     | PolicyEmbeddings | Creating embeddings for documents
