2025-06-06 12:15:49,278 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 12:15:49,278 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 12:15:54,002 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 12:15:54,002 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 12:15:54,053 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 12:15:54,053 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 12:15:56,104 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 12:15:56,104 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 12:15:58,281 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 12:15:58,281 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 12:16:00,403 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 12:16:00,403 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 12:16:00,444 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 12:16:00,444 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 12:17:16,518 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 12:17:19,908 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 12:17:19,908 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 12:17:21,945 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 12:17:23,996 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 12:17:26,026 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 12:17:26,026 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 12:17:41,579 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 12:23:04,867 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 12:23:04,867 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 12:26:39,562 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 12:29:46,171 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 12:29:46,171 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 12:36:11,272 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 12:36:11,272 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 12:45:08,461 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 12:45:08,461 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 12:51:22,246 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 12:51:22,246 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 12:57:52,967 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 12:57:52,967 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 13:26:12,315 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 13:26:12,315 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 13:31:54,287 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 13:31:54,287 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 13:32:41,381 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 13:32:41,381 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 13:33:37,507 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 13:33:37,507 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 13:35:24,713 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 13:35:24,713 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 13:35:50,590 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 13:35:50,590 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 13:39:52,699 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 13:39:56,506 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
